广州火车站,30,95
广州火车东站,42,106
广州火车南站,60,184
广州火车北站,17,43
广州市汽车客运站,31,93
广东省汽车客运站,31,93
广州天河汽车客运站,38,97
广州广园汽车客运站,32,87
广州琶洲国际会展中心,46,131
天河体育中心,40,115
