航空:正班客座率,
区域,中国
次国家,
频率,年
单位,%
数据来源,中国民用航空总局
状态,继续
数列ID,12466701 (CTAGXJ)
SR码,SR396726
助记符,
函数信息,
首次观测日期,1986
最后观测日期,2018
最后更新时间,06/03/2019
平均,81.15
方差,4.302777778
标准差,2.074313809
偏度,-1.513159163
峰度,2.741381775
变异系数,0.025561476
最小,76.3
最大,83.2
中位数,81.6
观测次数,10
2009,76.3
2010,80.2
2011,81.8
2012,79.6
2013,81.1
2014,81.4
2015,82.1
2016,82.6
2017,83.2
2018,83.2
